year,imd_decile,ethnic_group,infant_deaths,infant_mortality_rate,rate_unreliable_flag
2019,1,Asian,110,8.0,False
2019,1,Black,43,6.6,False
2019,1,Mixed_or_multiple,33,6.2,False
2019,1,Any_Other_ethnic_group,18,6.0,True
2019,1,White,199,3.9,False
2019,2,Asian,73,5.9,False
2019,2,Black,44,6.4,False
2019,2,Mixed_or_multiple,14,2.5,True
2019,2,Any_Other_ethnic_group,15,6.2,True
2019,2,White,163,3.6,False
2019,3,Asian,62,5.6,False
2019,3,Black,38,6.6,False
2019,3,Mixed_or_multiple,17,3.2,True
2019,3,Any_Other_ethnic_group,3,1.2,True
2019,3,White,144,3.2,False
2019,4,Asian,43,4.8,False
2019,4,Black,22,6.1,False
2019,4,Mixed_or_multiple,26,5.7,False
2019,4,Any_Other_ethnic_group,4,2.2,True
2019,4,White,145,3.3,False
2019,5,Asian,33,4.7,False
2019,5,Black,18,7.0,True
2019,5,Mixed_or_multiple,11,2.7,True
2019,5,Any_Other_ethnic_group,5,3.7,True
2019,5,White,131,3.0,False
2019,6,Asian,31,5.5,False
2019,6,Black,9,4.9,True
2019,6,Mixed_or_multiple,9,2.4,True
2019,6,Any_Other_ethnic_group,5,4.2,True
2019,6,White,127,2.9,False
2019,7,Asian,15,3.5,True
2019,7,Black,8,6.5,True
2019,7,Mixed_or_multiple,8,2.4,True
2019,7,Any_Other_ethnic_group,4,4.4,True
2019,7,White,108,2.6,False
2019,8,Asian,14,3.7,True
2019,8,Black,6,6.2,True
2019,8,Mixed_or_multiple,11,3.4,True
2019,8,Any_Other_ethnic_group,1,,True
2019,8,White,100,2.4,False
2019,9,Asian,13,4.0,True
2019,9,Black,7,9.0,True
2019,9,Mixed_or_multiple,10,3.3,True
2019,9,Any_Other_ethnic_group,0,,True
2019,9,White,87,2.2,False
2019,10,Asian,7,2.5,True
2019,10,Black,1,,True
2019,10,Mixed_or_multiple,4,1.4,True
2019,10,Any_Other_ethnic_group,0,,True
2019,10,White,83,2.3,False
2019,Total,Asian,401,5.5,False
2019,Total,Black,196,6.4,False
2019,Total,Mixed_or_multiple,143,3.5,False
2019,Total,Any_Other_ethnic_group,55,3.6,False
2019,Total,White,1287,3.0,False
2018,1,Asian,84,6.2,False
2018,1,Black,35,5.4,False
2018,1,Mixed_or_multiple,24,4.5,False
2018,1,Any_Other_ethnic_group,13,4.4,True
2018,1,White,237,4.4,False
2018,2,Asian,74,6.1,False
2018,2,Black,43,6.1,False
2018,2,Mixed_or_multiple,20,3.7,False
2018,2,Any_Other_ethnic_group,11,4.2,True
2018,2,White,169,3.5,False
2018,3,Asian,65,5.8,False
2018,3,Black,42,7.1,False
2018,3,Mixed_or_multiple,13,2.5,True
2018,3,Any_Other_ethnic_group,6,2.3,True
2018,3,White,143,3.1,False
2018,4,Asian,37,4.1,False
2018,4,Black,26,6.8,False
2018,4,Mixed_or_multiple,19,4.2,True
2018,4,Any_Other_ethnic_group,9,4.7,True
2018,4,White,168,3.7,False
2018,5,Asian,24,3.6,False
2018,5,Black,16,6.1,True
2018,5,Mixed_or_multiple,20,4.9,False
2018,5,Any_Other_ethnic_group,1,,True
2018,5,White,120,2.7,False
2018,6,Asian,24,4.4,False
2018,6,Black,17,9.6,True
2018,6,Mixed_or_multiple,12,3.2,True
2018,6,Any_Other_ethnic_group,5,4.2,True
2018,6,White,127,2.8,False
2018,7,Asian,20,4.7,False
2018,7,Black,12,9.6,True
2018,7,Mixed_or_multiple,8,2.3,True
2018,7,Any_Other_ethnic_group,4,4.4,True
2018,7,White,126,2.9,False
2018,8,Asian,18,4.9,True
2018,8,Black,6,6.3,True
2018,8,Mixed_or_multiple,10,3.2,True
2018,8,Any_Other_ethnic_group,4,4.7,True
2018,8,White,94,2.2,False
2018,9,Asian,14,4.5,True
2018,9,Black,2,,True
2018,9,Mixed_or_multiple,6,2.0,True
2018,9,Any_Other_ethnic_group,4,6.1,True
2018,9,White,129,3.1,False
2018,10,Asian,4,1.4,True
2018,10,Black,4,9.2,True
2018,10,Mixed_or_multiple,10,3.7,True
2018,10,Any_Other_ethnic_group,2,,True
2018,10,White,95,2.6,False
2018,Total,Asian,364,5.1,False
2018,Total,Black,203,6.5,False
2018,Total,Mixed_or_multiple,142,3.5,False
2018,Total,Any_Other_ethnic_group,59,3.8,False
2018,Total,White,1408,3.1,False
2017,1,Asian,103,7.2,False
2017,1,Black,54,8.1,False
2017,1,Mixed_or_multiple,25,4.6,False
2017,1,Any_Other_ethnic_group,15,5.1,True
2017,1,White,244,4.3,False
2017,2,Asian,89,7.0,False
2017,2,Black,38,5.1,False
2017,2,Mixed_or_multiple,23,4.2,False
2017,2,Any_Other_ethnic_group,11,4.2,True
2017,2,White,175,3.5,False
2017,3,Asian,58,5.0,False
2017,3,Black,40,6.3,False
2017,3,Mixed_or_multiple,26,4.9,False
2017,3,Any_Other_ethnic_group,8,3.2,True
2017,3,White,162,3.4,False
2017,4,Asian,53,5.7,False
2017,4,Black,26,6.7,False
2017,4,Mixed_or_multiple,19,4.0,True
2017,4,Any_Other_ethnic_group,12,6.5,True
2017,4,White,164,3.5,False
2017,5,Asian,28,3.9,False
2017,5,Black,14,5.1,True
2017,5,Mixed_or_multiple,9,2.2,True
2017,5,Any_Other_ethnic_group,4,3.0,True
2017,5,White,157,3.4,False
2017,6,Asian,22,3.9,False
2017,6,Black,14,7.7,True
2017,6,Mixed_or_multiple,11,3.0,True
2017,6,Any_Other_ethnic_group,4,3.3,True
2017,6,White,147,3.2,False
2017,7,Asian,22,5.0,False
2017,7,Black,7,5.8,True
2017,7,Mixed_or_multiple,10,3.1,True
2017,7,Any_Other_ethnic_group,3,3.4,True
2017,7,White,106,2.4,False
2017,8,Asian,22,6.0,False
2017,8,Black,8,8.0,True
2017,8,Mixed_or_multiple,20,6.6,False
2017,8,Any_Other_ethnic_group,2,,True
2017,8,White,93,2.2,False
2017,9,Asian,17,5.2,True
2017,9,Black,10,12.8,True
2017,9,Mixed_or_multiple,15,5.1,True
2017,9,Any_Other_ethnic_group,2,,True
2017,9,White,111,2.6,False
2017,10,Asian,13,4.6,True
2017,10,Black,5,11.7,True
2017,10,Mixed_or_multiple,10,3.9,True
2017,10,Any_Other_ethnic_group,4,8.4,True
2017,10,White,79,2.1,False
2017,Total,Asian,427,5.7,False
2017,Total,Black,216,6.7,False
2017,Total,Mixed_or_multiple,168,4.2,False
2017,Total,Any_Other_ethnic_group,65,4.2,False
2017,Total,White,1438,3.1,False
2016,1,Asian,110,7.4,False
2016,1,Black,66,9.8,False
2016,1,Mixed_or_multiple,31,5.6,False
2016,1,Any_Other_ethnic_group,8,2.6,True
2016,1,White,282,4.9,False
2016,2,Asian,74,5.5,False
2016,2,Black,40,5.1,False
2016,2,Mixed_or_multiple,28,5.0,False
2016,2,Any_Other_ethnic_group,12,4.3,True
2016,2,White,214,4.2,False
2016,3,Asian,49,4.1,False
2016,3,Black,49,7.3,False
2016,3,Mixed_or_multiple,13,2.4,True
2016,3,Any_Other_ethnic_group,10,3.8,True
2016,3,White,169,3.4,False
2016,4,Asian,55,5.7,False
2016,4,Black,23,5.7,False
2016,4,Mixed_or_multiple,15,3.2,True
2016,4,Any_Other_ethnic_group,3,1.5,True
2016,4,White,154,3.2,False
2016,5,Asian,36,4.9,False
2016,5,Black,21,7.4,False
2016,5,Mixed_or_multiple,21,5.1,False
2016,5,Any_Other_ethnic_group,5,3.5,True
2016,5,White,151,3.1,False
2016,6,Asian,25,4.2,False
2016,6,Black,8,4.2,True
2016,6,Mixed_or_multiple,3,0.8,True
2016,6,Any_Other_ethnic_group,2,,True
2016,6,White,130,2.7,False
2016,7,Asian,30,6.7,False
2016,7,Black,11,9.0,True
2016,7,Mixed_or_multiple,14,4.3,True
2016,7,Any_Other_ethnic_group,3,3.4,True
2016,7,White,135,3.0,False
2016,8,Asian,23,6.0,False
2016,8,Black,7,7.0,True
2016,8,Mixed_or_multiple,6,1.9,True
2016,8,Any_Other_ethnic_group,0,,True
2016,8,White,105,2.4,False
2016,9,Asian,5,1.5,True
2016,9,Black,2,,True
2016,9,Mixed_or_multiple,11,3.7,True
2016,9,Any_Other_ethnic_group,3,4.3,True
2016,9,White,106,2.5,False
2016,10,Asian,12,4.2,True
2016,10,Black,5,11.8,True
2016,10,Mixed_or_multiple,5,1.9,True
2016,10,Any_Other_ethnic_group,3,6.3,True
2016,10,White,90,2.3,False
2016,Total,Asian,419,5.4,False
2016,Total,Black,232,6.9,False
2016,Total,Mixed_or_multiple,147,3.6,False
2016,Total,Any_Other_ethnic_group,49,3.1,False
2016,Total,White,1536,3.2,False
2015,1,Asian,111,7.1,False
2015,1,Black,47,5.9,False
2015,1,Mixed_or_multiple,25,4.2,False
2015,1,Any_Other_ethnic_group,17,5.0,True
2015,1,White,257,4.5,False
2015,2,Asian,68,5.0,False
2015,2,Black,41,4.8,False
2015,2,Mixed_or_multiple,25,4.3,False
2015,2,Any_Other_ethnic_group,12,4.3,True
2015,2,White,207,3.9,False
2015,3,Asian,46,3.8,False
2015,3,Black,25,4.1,False
2015,3,Mixed_or_multiple,28,5.5,False
2015,3,Any_Other_ethnic_group,7,2.8,True
2015,3,White,182,3.5,False
2015,4,Asian,32,3.5,False
2015,4,Black,29,7.8,False
2015,4,Mixed_or_multiple,20,4.5,False
2015,4,Any_Other_ethnic_group,7,4.1,True
2015,4,White,139,2.8,False
2015,5,Asian,39,5.6,False
2015,5,Black,13,5.2,True
2015,5,Mixed_or_multiple,7,1.9,True
2015,5,Any_Other_ethnic_group,1,,True
2015,5,White,143,3.0,False
2015,6,Asian,15,2.9,True
2015,6,Black,7,4.6,True
2015,6,Mixed_or_multiple,10,2.9,True
2015,6,Any_Other_ethnic_group,2,,True
2015,6,White,135,2.8,False
2015,7,Asian,22,5.5,False
2015,7,Black,7,6.4,True
2015,7,Mixed_or_multiple,5,1.7,True
2015,7,Any_Other_ethnic_group,3,3.3,True
2015,7,White,116,2.5,False
2015,8,Asian,18,4.9,True
2015,8,Black,4,4.7,True
2015,8,Mixed_or_multiple,13,4.5,True
2015,8,Any_Other_ethnic_group,2,,True
2015,8,White,109,2.4,False
2015,9,Asian,5,1.7,True
2015,9,Black,2,,True
2015,9,Mixed_or_multiple,10,3.7,True
2015,9,Any_Other_ethnic_group,3,5.1,True
2015,9,White,98,2.2,False
2015,10,Asian,11,4.2,True
2015,10,Black,3,7.7,True
2015,10,Mixed_or_multiple,6,2.4,True
2015,10,Any_Other_ethnic_group,1,,True
2015,10,White,98,2.5,False
2015,Total,Asian,367,4.8,False
2015,Total,Black,178,5.4,False
2015,Total,Mixed_or_multiple,149,3.8,False
2015,Total,Any_Other_ethnic_group,55,3.6,False
2015,Total,White,1484,3.1,False
2014,1,Asian,116,7.4,False
2014,1,Black,67,8.5,False
2014,1,Mixed_or_multiple,27,4.9,False
2014,1,Any_Other_ethnic_group,22,6.3,False
2014,1,White,249,4.3,False
2014,2,Asian,88,6.4,False
2014,2,Black,48,5.6,False
2014,2,Mixed_or_multiple,16,3.0,True
2014,2,Any_Other_ethnic_group,7,2.6,True
2014,2,White,178,3.4,False
2014,3,Asian,35,2.9,False
2014,3,Black,32,5.3,False
2014,3,Mixed_or_multiple,12,2.5,True
2014,3,Any_Other_ethnic_group,8,3.6,True
2014,3,White,152,3.0,False
2014,4,Asian,38,4.2,False
2014,4,Black,19,5.1,True
2014,4,Mixed_or_multiple,12,2.9,True
2014,4,Any_Other_ethnic_group,10,5.9,True
2014,4,White,161,3.2,False
2014,5,Asian,34,4.8,False
2014,5,Black,12,4.9,True
2014,5,Mixed_or_multiple,9,2.7,True
2014,5,Any_Other_ethnic_group,3,2.4,True
2014,5,White,166,3.5,False
2014,6,Asian,19,3.6,True
2014,6,Black,12,7.9,True
2014,6,Mixed_or_multiple,3,1.0,True
2014,6,Any_Other_ethnic_group,2,,True
2014,6,White,137,2.9,False
2014,7,Asian,10,2.6,True
2014,7,Black,7,6.4,True
2014,7,Mixed_or_multiple,6,2.1,True
2014,7,Any_Other_ethnic_group,3,3.6,True
2014,7,White,125,2.8,False
2014,8,Asian,11,3.1,True
2014,8,Black,11,13.2,True
2014,8,Mixed_or_multiple,9,3.3,True
2014,8,Any_Other_ethnic_group,0,,True
2014,8,White,130,2.9,False
2014,9,Asian,4,1.3,True
2014,9,Black,4,5.8,True
2014,9,Mixed_or_multiple,10,4.0,True
2014,9,Any_Other_ethnic_group,3,5.1,True
2014,9,White,112,2.6,False
2014,10,Asian,11,4.3,True
2014,10,Black,1,,True
2014,10,Mixed_or_multiple,9,3.9,True
2014,10,Any_Other_ethnic_group,2,,True
2014,10,White,88,2.3,False
2014,Total,Asian,366,4.8,False
2014,Total,Black,213,6.4,False
2014,Total,Mixed_or_multiple,113,3.1,False
